iter	Passed	Remaining
836	20736	28813
837	20761	28788
838	20787	28765
839	20812	28741
840	20839	28719
841	20864	28694
842	20890	28671
843	20915	28646
844	20942	28625
845	20966	28599
846	20992	28576
847	21016	28550
848	21042	28527
849	21070	28506
850	21097	28484
851	21123	28462
852	21149	28438
853	21174	28413
854	21198	28388
855	21224	28364
856	21248	28339
857	21273	28314
858	21297	28289
859	21323	28265
860	21349	28243
861	21375	28219
862	21400	28195
863	21425	28170
864	21451	28147
865	21477	28123
866	21502	28099
867	21526	28073
868	21551	28049
869	21576	28025
870	21602	28001
871	21627	27976
872	21653	27953
873	21678	27928
874	21703	27904
875	21719	27868
876	21744	27843
877	21769	27819
878	21794	27795
879	21820	27771
880	21845	27747
881	21865	27715
882	21890	27692
883	21916	27668
884	21938	27639
885	21964	27616
886	21997	27602
887	22024	27580
888	22049	27555
889	22075	27532
890	22105	27513
891	22132	27491
892	22143	27450
893	22169	27426
894	22195	27403
895	22222	27380
896	22247	27356
897	22272	27332
898	22296	27306
899	22323	27284
900	22349	27260
901	22375	27237
902	22400	27213
903	22427	27190
904	22452	27166
905	22479	27143
906	22504	27119
907	22531	27097
908	22555	27071
909	22582	27049
910	22607	27024
911	22634	27002
912	22659	26977
913	22685	26954
914	22709	26929
915	22736	26906
916	22762	26882
917	22787	26858
918	22813	26835
919	22844	26817
920	22872	26796
921	22898	26772
922	22923	26748
923	22951	26727
924	22977	26703
925	23002	26679
926	23028	26655
927	23054	26631
928	23081	26609
929	23107	26586
930	23134	26563
931	23163	26543
932	23188	26519
933	23213	26494
934	23240	26471
935	23265	26447
936	23290	26422
937	23315	26398
938	23342	26375
939	23367	26350
940	23392	26325
941	23416	26300
942	23442	26276
943	23468	26252
944	23493	26228
945	23517	26202
946	23543	26178
947	23568	26153
948	23594	26130
949	23610	26095
950	23635	26070
951	23659	26045
952	23685	26021
953	23711	25998
954	23737	25974
955	23761	25948
956	23788	25925
957	23812	25900
958	23838	25876
959	23864	25852
960	23889	25828
961	23914	25803
962	23940	25779
963	23964	25754
964	23990	25730
965	24014	25705
966	24040	25681
967	24064	25655
968	24092	25634
969	24118	25610
970	24143	25586
971	24169	25562
972	24194	25537
973	24219	25512
974	24244	25488
975	24270	25463
976	24298	25442
977	24323	25418
978	24349	25393
979	24373	25368
980	24400	25345
981	24424	25320
982	24451	25297
983	24475	25271
984	24501	25247
985	24525	25222
986	24552	25199
987	24576	25173
988	24602	25149
989	24627	25124
990	24654	25102
991	24679	25077
992	24703	25052
993	24727	25026
994	24754	25003
995	24778	24977
996	24803	24953
997	24828	24928
998	24855	24905
999	24879	24879
1000	24905	24855
1001	24930	24831
1002	24956	24807
1003	24980	24781
1004	25005	24757
1005	25032	24733
1006	25058	24709
1007	25084	24686
1008	25112	24664
1009	25137	24640
1010	25168	24620
1011	25192	24594
1012	25218	24571
1013	25244	24547
1014	25270	24523
1015	25295	24499
1016	25320	24474
1017	25346	24449
1018	25371	24425
1019	25398	24402
1020	25422	24376
1021	25449	24353
1022	25474	24329
1023	25501	24305
1024	25525	24280
1025	25551	24256
1026	25577	24232
1027	25602	24208
1028	25628	24183
1029	25653	24159
1030	25679	24134
1031	25704	24110
1032	25729	24085
1033	25755	24061
1034	25780	24037
1035	25808	24015
1036	25833	23989
1037	25860	23966
1038	25885	23941
1039	25911	23918
1040	25936	23893
1041	25962	23869
1042	25986	23843
1043	26013	23820
1044	26037	23794
1045	26064	23772
1046	26090	23748
1047	26117	23724
1048	26143	23700
1049	26170	23677
1050	26196	23654
1051	26222	23630
1052	26247	23605
1053	26272	23580
1054	26297	23555
1055	26324	23532
1056	26349	23507
1057	26374	23482
1058	26399	23457
1059	26427	23435
1060	26454	23412
1061	26479	23387
1062	26506	23364
1063	26532	23340
1064	26558	23316
1065	26583	23291
1066	26609	23267
1067	26636	23244
1068	26661	23219
1069	26687	23195
1070	26712	23171
1071	26741	23149
1072	26765	23123
1073	26791	23099
1074	26816	23074
1075	26843	23051
1076	26867	23025
1077	26893	23001
1078	26918	22977
1079	26944	22952
1080	26971	22929
1081	26997	22905
1082	27023	22881
1083	27048	22856
1084	27078	22835
1085	27107	22814
1086	27132	22788
1087	27160	22766
1088	27186	22743
1089	27212	22718
1090	27253	22707
1091	27280	22683
1092	27307	22660
1093	27333	22635
1094	27357	22610
1095	27383	22586
1096	27408	22561
1097	27433	22536
1098	27457	22510
1099	27485	22488
1100	27509	22462
1101	27535	22438
1102	27559	22412
1103	27585	22388
1104	27610	22362
1105	27636	22338
1106	27659	22312
1107	27686	22289
1108	27710	22263
1109	27736	22239
1110	27760	22213
1111	27787	22190
1112	27813	22165
1113	27838	22141
1114	27863	22115
1115	27887	22090
1116	27913	22066
1117	27939	22041
1118	27963	22016
1119	27988	21990
1120	28012	21965
1121	28038	21941
1122	28065	21917
1123	28090	21892
1124	28116	21868
1125	28142	21844
1126	28167	21819
1127	28192	21794
1128	28217	21768
1129	28246	21746
1130	28271	21722
1131	28297	21698
1132	28321	21672
1133	28347	21648
1134	28371	21622
1135	28398	21598
1136	28423	21573
1137	28449	21549
1138	28474	21524
1139	28499	21499
1140	28525	21475
1141	28555	21453
1142	28580	21429
1143	28605	21404
1144	28631	21379
1145	28656	21355
1146	28682	21330
1147	28708	21306
1148	28733	21281
1149	28758	21256
1150	28784	21231
1151	28810	21207
1152	28835	21182
1153	28860	21157
1154	28885	21132
1155	28911	21108
1156	28936	21083
1157	28962	21058
1158	28986	21033
1159	29013	21009
1160	29038	20984
1161	29066	20962
1162	29092	20937
1163	29118	20913
1164	29143	20888
1165	29168	20863
1166	29194	20838
1167	29219	20813
1168	29244	20788
1169	29268	20763
1170	29294	20738
1171	29319	20713
1172	29344	20688
1173	29376	20668
1174	29417	20654
1175	29449	20634
1176	29479	20612
1177	29520	20598
1178	29549	20576
1179	29577	20553
1180	29605	20530
1181	29635	20509
1182	29660	20484
1183	29690	20462
1184	29719	20439
1185	29747	20416
1186	29776	20394
1187	29804	20371
1188	29833	20349
1189	29858	20324
1190	29884	20299
1191	29909	20274
1192	29936	20250
1193	29961	20225
1194	29987	20200
1195	30012	20175
1196	30041	20153
1197	30071	20131
1198	30096	20106
1199	30122	20081
1200	30149	20057
1201	30174	20032
1202	30201	20008
1203	30226	19983
1204	30254	19960
1205	30279	19934
1206	30306	19911
1207	30332	19886
1208	30359	19863
1209	30386	19839
1210	30417	19818
1211	30445	19794
1212	30473	19771
1213	30500	19747
1214	30526	19722
1215	30552	19698
1216	30580	19674
1217	30604	19649
1218	30632	19625
1219	30656	19600
1220	30684	19576
1221	30708	19550
1222	30736	19527
1223	30761	19502
1224	30788	19478
1225	30814	19453
1226	30839	19428
1227	30863	19403
1228	30889	19378
1229	30915	19353
1230	30941	19328
1231	30965	19303
1232	30993	19279
1233	31020	19255
1234	31050	19233
1235	31075	19208
1236	31104	19185
1237	31131	19161
1238	31156	19136
1239	31183	19112
1240	31209	19087
1241	31235	19063
1242	31261	19038
1243	31287	19013
1244	31314	18989
1245	31338	18964
1246	31364	18939
1247	31388	18913
1248	31416	18890
1249	31442	18865
1250	31467	18840
1251	31492	18815
1252	31519	18790
1253	31543	18765
1254	31568	18739
1255	31593	18714
1256	31618	18689
1257	31643	18663
1258	31667	18638
1259	31693	18613
1260	31717	18588
1261	31745	18564
1262	31770	18539
1263	31795	18513
1264	31820	18488
1265	31847	18464
1266	31873	18440
1267	31897	18414
1268	31923	18389
1269	31944	18361
1270	31969	18336
1271	31994	18311
1272	32022	18287
1273	32051	18264
1274	32077	18240
1275	32102	18214
1276	32128	18190
1277	32153	18164
1278	32181	18141
1279	32208	18117
1280	32234	18092
1281	32260	18068
1282	32287	18043
1283	32313	18018
1284	32340	17994
1285	32366	17969
1286	32392	17945
1287	32418	17920
1288	32444	17896
1289	32470	17871
1290	32495	17845
1291	32521	17821
1292	32546	17796
1293	32573	17771
1294	32597	17746
1295	32626	17722
1296	32651	17697
1297	32677	17672
1298	32703	17648
1299	32731	17624
1300	32756	17599
1301	32789	17578
1302	32822	17557
1303	32862	17540
1304	32898	17520
1305	32930	17499
1306	32959	17475
1307	32989	17453
1308	33019	17430
1309	33051	17408
1310	33078	17384
1311	33108	17362
1312	33136	17337
1313	33161	17312
1314	33187	17287
1315	33213	17262
1316	33238	17237
1317	33263	17212
1318	33287	17186
1319	33315	17162
1320	33339	17136
1321	33365	17111
1322	33389	17085
1323	33415	17061
1324	33440	17035
1325	33466	17010
1326	33490	16985
1327	33516	16960
1328	33542	16935
1329	33568	16910
1330	33592	16884
1331	33620	16860
1332	33644	16834
1333	33670	16809
1334	33695	16784
1335	33722	16760
1336	33750	16736
1337	33776	16711
1338	33802	16686
1339	33828	16661
1340	33853	16636
1341	33880	16611
1342	33904	16586
1343	33930	16561
1344	33958	16537
1345	33984	16512
1346	34010	16487
1347	34037	16463
1348	34063	16438
1349	34088	16413
1350	34115	16388
1351	34140	16363
1352	34166	16338
1353	34193	16313
1354	34218	16288
1355	34247	16264
1356	34273	16240
1357	34300	16215
1358	34326	16190
1359	34354	16166
1360	34382	16142
1361	34409	16118
1362	34433	16092
1363	34460	16067
