iter	RMSE
580	71136.36567
581	71130.64535
582	71128.49572
583	71121.79218
584	71118.9823
585	71115.71777
586	71085.58579
587	71081.31441
588	71075.66173
589	71051.60537
590	71039.19059
591	71033.3776
592	71033.22425
593	71026.45621
594	71014.6374
595	71013.68081
596	70996.78871
597	70978.29691
598	70957.91429
599	70947.47899
600	70942.61486
601	70920.09091
602	70912.6557
603	70901.7648
604	70900.18467
605	70881.4053
606	70851.11607
607	70834.37898
608	70831.60431
609	70830.35432
610	70819.85266
611	70816.02682
612	70806.16204
613	70796.01895
614	70781.95698
615	70744.14266
616	70737.65292
617	70717.37579
618	70709.30511
619	70704.17305
620	70682.35203
621	70666.71483
622	70658.13077
623	70648.70981
624	70624.48103
625	70611.16363
626	70601.75788
627	70577.39798
628	70548.32842
629	70520.70866
630	70501.97275
631	70500.47277
632	70498.71636
633	70486.82158
634	70468.72056
635	70454.01713
636	70430.15921
637	70425.15087
638	70417.92526
639	70406.2206
640	70405.67469
641	70400.77755
642	70384.43633
643	70384.2904
644	70348.5058
645	70333.88241
646	70326.94313
647	70318.34997
648	70313.48369
649	70305.28362
650	70297.81993
651	70287.05232
652	70260.73882
653	70256.62161
654	70256.54478
655	70250.19819
656	70241.97674
657	70224.68624
658	70222.0133
659	70214.33282
660	70213.35369
661	70204.29813
662	70168.25827
663	70159.16218
664	70152.5095
665	70144.19099
666	70137.77342
667	70101.98564
668	70098.53559
669	70091.14762
670	70078.32769
671	70067.29365
672	70047.60054
673	70028.62298
674	70009.82696
675	70008.68026
676	69996.7502
677	69985.21638
678	69972.19923
679	69940.81958
680	69931.71023
681	69908.41288
682	69907.87151
683	69890.95689
684	69881.07918
685	69876.79195
686	69874.03742
687	69869.4371
688	69868.90258
689	69865.85106
690	69865.32076
691	69836.57407
692	69821.86264
693	69798.28144
694	69785.12644
695	69765.06998
696	69753.63095
697	69736.82254
698	69703.06027
699	69681.8749
700	69671.46114
701	69657.72107
702	69643.68811
703	69640.98236
704	69620.66415
705	69608.98661
706	69598.6581
707	69598.43328
708	69593.39443
709	69579.10196
710	69573.95821
711	69552.40265
712	69547.55892
713	69534.41558
714	69527.28959
715	69515.89298
716	69502.4834
717	69500.97445
718	69476.03876
719	69450.55999
720	69445.47923
721	69437.05176
722	69425.52454
723	69410.34645
724	69403.6231
725	69386.73961
726	69353.80665
727	69348.07223
728	69347.08998
729	69332.20125
730	69310.43883
731	69309.91075
732	69306.9495
733	69300.94327
734	69296.02326
735	69295.65446
736	69283.17741
737	69267.54287
738	69262.72167
739	69249.8725
740	69238.01371
741	69209.41393
742	69192.3845
743	69158.83942
744	69147.43604
